date_time_local,unixtime,pressure_station,pressure_sea,wind_dir,wind_dir_10s,wind_speed,wind_gust,relative_humidity,dew_point,temperature,windchill,humidex,visibility,health_index,cloud_cover_4,cloud_cover_8,cloud_cover_10,solar_radiation,max_air_temp_pst1hr,min_air_temp_pst1hr
"2024-01-25 11:00:00 EST",1706198400,101.93,102.39,N,0,0,,88,-2.7,-1,,,9700,,,8,,,-1,-1.9
"2024-01-25 10:00:00 EST",1706194800,101.88,102.34,N,0,2,,90,-3.3,-1.8,-3,,9700,,,8,,,-1.8,-2.3
"2024-01-25 09:00:00 EST",1706191200,101.84,102.3,N,0,2,,90,-3.7,-2.3,-3,,12900,,,8,,,-2.3,-2.8
"2024-01-25 08:00:00 EST",1706187600,101.76,102.22,N,0,2,,90,-4.1,-2.7,-3,,16100,,,8,,,-2.7,-3.1
"2024-01-25 07:00:00 EST",1706184000,101.72,102.18,NW,31,5,,91,-4.3,-3,-5,,19300,,,8,,,-3,-3.2
"2024-01-25 06:00:00 EST",1706180400,101.61,102.07,NNW,34,4,,91,-4.5,-3.3,-5,,19300,,,8,,,-3.2,-3.5
"2024-01-25 05:00:00 EST",1706176800,101.57,102.03,NNW,34,9,,91,-4.8,-3.6,-7,,24100,,,8,,,-3.5,-3.7
"2024-01-25 04:00:00 EST",1706173200,101.49,101.95,N,1,10,,92,-4.7,-3.6,-8,,19300,,,8,,,-3.5,-3.9
"2024-01-25 03:00:00 EST",1706169600,101.55,102.01,N,36,12,,92,-4.9,-3.8,-8,,12900,,,8,,,-3.8,-4.2
"2024-01-25 02:00:00 EST",1706166000,101.56,102.02,NNE,1,11,,92,-5.3,-4.2,-9,,16100,,,8,,,-4.1,-4.6
"2024-01-25 01:00:00 EST",1706162400,101.56,102.02,NNE,2,15,,92,-5.7,-4.6,-10,,9700,,,8,,,-4.4,-4.8
"2024-01-25 00:00:00 EST",1706158800,101.59,102.05,NNE,2,15,,92,-6,-4.9,-10,,9700,,,8,,,-4.7,-5.1
"2024-01-24 23:00:00 EST",1706155200,101.71,102.17,NNE,2,15,,91,-6,-4.8,-10,,9700,,,8,,,-4.8,-6.1
"2024-01-24 22:00:00 EST",1706151600,101.76,102.22,NNE,2,15,,91,-7.3,-6.1,-12,,9700,,,8,,,-5.9,-7.1
"2024-01-24 21:00:00 EST",1706148000,101.89,102.35,NNE,2,21,,91,-7.9,-6.7,-14,,6400,,,8,,,-6.7,-7.2
"2024-01-24 20:00:00 EST",1706144400,101.96,102.42,NNE,2,15,,91,-8.4,-7.2,-13,,4800,,,8,,,-7.2,-7.7
"2024-01-24 19:00:00 EST",1706140800,102.11,102.57,NNE,2,16,,91,-8.7,-7.5,-14,,4800,,,8,,,-7.4,-7.8
"2024-01-24 18:00:00 EST",1706137200,102.14,102.6,NNE,2,15,,91,-8.9,-7.7,-14,,4800,,,8,,,-7.6,-8.2
